⑴プロムナード	○プロムナード・エントランスの雰囲気づくり
⑵エントランス
ゾーン	○入退館システムの暫定改修
	○入退館システムの抜本的改修
	○体験展示の利用しやすさの改修
	○お子さま視点にあわせたジオラマのリニューアル
	○鉄道らしいキッズスペースへのリニューアル
⑶ヒストリー
ゾーン	○車両の入替
	○最新車両の展示
	○技術保守部門を含めた体系的な展示
	○鉄道の「人としごと」を見せる展示
	○各時代の駅・設備の実演展示
	○鉄道史の画期を見せる展示改善
	○「鉄道とエコ」の技術体験
	○「鉄道と旅」の展示体験
	○モノに関わる周辺ストーリーも体験
	○鉄道に関わる芸術文化
	○「大宮と鉄道」から歴史を学習
	○鉄道史における人物の展示
	○常設展示スペースの拡張
	○資料アーカイブのデジタル展示
	○モノの周辺にある「コト」のデジタル展示
	○仮想現実による過去から未来の体験
	○デジタル技術による歴史年表の改善
⑷コレクション
ゾーン	○資料活動サイクルの確立
	○企画展示スペースの拡張
	○お子さま向け図書の充実
	○日本全国の鉄道資料や資源の調査・収集・保存
	○日本及び海外の鉄道資料・資源を継続的に収集・保存する
	○JR東日本が保有する資料の体系的な収集・保存・公開
	○収蔵資料の拡大に伴う収蔵庫の拡張
	○資料アーカイブの閲覧（利用しやすいライブラリー）
	○web上でのアーカイブの公開
⑸ラーニングゾーン	○ラーニングゾーンリニューアル
	○屋上パノラマデッキの改修
⑹パークゾーン	○ミニシャトル・ミニ運転列車の車両更新
⑺ノースウィング	
⑻てっぱくひろば	
⑼ミュージアムショップ	○ミュージアムショップの移転と拡張
⑽レストラン・飲食スペース	○レストランの移転と拡張
	○飲食メニューのレベルアップ
	○快適で楽しい食事スペース
	○休憩スペースの拡張
	○快適な休憩スペースの整備
⑾駐車場	
⑿その他の鉄道博物館現況の課題
展示全体に関する課題	○大型ガイダンス映像
	○映像・音などの展示
	○五感に訴える複合演出
	○「動く」「触る」体験展示の拡大・増設
	○「はやぶさ」のテーマ展示
	○収蔵資料の展示・活用
	○海外からのお客さまへの対応充実
	○お客さまの興味に応える順路（プログラム）や情報提供
	○マナーや安全を学ぶ親子向けプログラム
	○動く展示が少ない
	○臨場感やリアリティが感じられにくい
	○鉄道に従事する「人」を感じる展示が不足している
	○展示物の周辺ストーリーを五感で体感できる展示が不足している
	○個人の関心やニーズに合わせた楽しめるツールが少ない
	○鉄道に関心のないお客さまにも興味をもっていただけるような展示
	○動く展示、体験できる展示、楽しめる展示を増やす必要がある
	○お子さまが「鉄道が好きになる」仕掛けをつくる必要がある
	○車両保管・復原場所の確保
	○動態保存線での運転実演
	○実物の鉄道システムを体験
	○大宮駅との列車運行
	○博物館の体験が博物館の外でも繋がるようにする
サインに関する
課題	○体験順路や見どころ情報の整備
サービス面の課題	○快適な館内設備
	○イベント・フリースペースの拡充
	○既存の設備をお子さまや保護者が利用しやすいように見直す必要がある
	○多目的広場の整備
	○季節性を取り入れた館内の雰囲気づくり
	○女性向け商品・サービスの開発
	○Teppa倶楽部の特典充実
	○お待たせせずに多くを体験できるようにする
	○来館者のニーズに合わせたサービスを提供する
	○季節やトレンドに合わせたイベント・企画展を開催する
	○機関紙発行
	○博物館周辺の散策マップの充実
	○博物館入口としての大宮駅の整備
	○スタッフのホスピタリティ強化
体制面の課題 	○アーカイブ機能を有していることをふまえた活動の展開
	○調査・研究活動をベースとした、展示や出版などの公開活動
	○埋もれている鉄道資源の発掘・保存活用
	○鉄道設備の歴史解説監修など地域と連携した活動の展開
	○館外との活動の連携
	○協力募集スキームや体制の確立
	○外部資金調達のしくみ
	○顧客情報の蓄積とニーズの発掘
	○設備老朽化に備えた体制
	○改善推進体制の構築
	○中長期視点でのスタッフ育成と雇用体系の整理
	○デジタルキュレーターの養成
	○資料収集方針の明文化、産学連携による学芸員やスタッフの育成
